"Items Per 155239 MJ","2015
"
"Total Energy (Btu)","252404898.786433
"
"Fossil Fuel (Btu)","116144357.207813
"
"Coal Fuel (Btu)","7667865.359213
"
"Natural Gas Fuel (Btu)","54425333.192844
"
"Petroleum Fuel (Btu)","54051158.6557559
"
"Water (gal)","81557.6007811864
"
"VOC (g)","7778.12874603319
"
"CO (g)","6097.20895558087
"
"NOx (g)","14791.8831030786
"
"PM10 (g)","1923.28900022059
"
"PM2.5 (g)","745.104469193497
"
"SOx (g)","7091.96393741531
"
"BC (g)","83.3572771496996
"
"POC (g)","158.358646717643
"
"CH4 (g)","22593.2522611707
"
"N2O (g)","5161.78281255841
"
"CO2 (g)","6351591.37273941
"
"CO2_Biogenic (g)","-1155.16709591603
"
"GHG-100 (g)","8429929.38175717
"
"Urban VOC (g)","767.868686652191
"
"Urban CO (g)","866.063422329043
"
"Urban NOx (g)","2194.4019154984
"
"Urban PM10 (g)","67.0255382153555
"
"Urban PM2.5 (g)","52.713039720765
"
"Urban SOx (g)","1143.27955967931
"
"Urban BC (g)","5.68403507452898
"
"Urban POC (g)","18.7772014081
"
"Urban CH4 (g)","872.01951624305
"
"Urban N2O (g)","15.2951951532374
"
"Urban CO2 (g)","1216558.23780354
"
"Urban CO2_Biogenic (g)","-442.834566271302
"
