,0,50,100,150,200,250,300
CO,402.64350638076934,968.5330208949672,1455.5594684348907,1826.9316085072787,2098.3505922496993,2336.948601295313,2575.546610340927
Fossil Fuel,-29574772.0509486,-51707324.376679204,-68204628.75265801,-76094050.44208091,-76683547.9310089,-74797514.57410441,-72911481.2172
GHG,-1178183.1321896487,-1736531.7555103342,-2073020.2694640309,-2064749.606918501,-1766328.885160569,-1368235.540086396,-970142.1950122436
NOx,628.7068762516401,1967.079193209881,3178.6283495435673,4212.231383331829,5088.784904246391,5915.6061720080725,6742.427439769741
PM10,383.16491781940414,738.1730972722941,1019.6193350151027,1189.940131133118,1265.537764651434,1309.2904683326146,1353.0431720137965
Petroleum,-36479870.8864839,-65926114.42222948,-88404016.50732769,-100276741.77050348,-103140546.33170807,-102957989.1816146,-102775432.03152011
SOx,-544.9326107094721,-395.80726443023974,-147.3590511995194,262.9300857027397,806.5270856800303,1397.5937664005012,1988.660447120969
VOC,688.51123550388,1459.3863550759704,2097.0009292022405,2535.706014490861,2803.9166106006096,3015.3480971930194,3226.779583785429
Water,83218.49747772643,77654.07840579911,73427.38560041442,71239.51169120739,70775.9218729576,70898.68741922981,71021.45296550199
